Year	Geographic Location	Index	Value
2009	Vanuatu	Food Index	135.2
2009	Vanuatu	Consumer Price Index	132.1
2010	Vanuatu	Food Index	141.4
2010	Vanuatu	Consumer Price Index	135.8
2011	Vanuatu	Food Index	142.5
2011	Vanuatu	Consumer Price Index	137
2012	Vanuatu	Food Index	145.4
2012	Vanuatu	Consumer Price Index	138.8
2013	Vanuatu	Food Index	147.6
2013	Vanuatu	Consumer Price Index	140.8
2014	Vanuatu	Food Index	150.1
2014	Vanuatu	Consumer Price Index	142
2015	Vanuatu	Food Index	155.5
2015	Vanuatu	Consumer Price Index	145.5
2016	Vanuatu	Food Index	159
2016	Vanuatu	Consumer Price Index	146.7
2017	Vanuatu	Food Index	169.8
2017	Vanuatu	Consumer Price Index	151.2
2018	Vanuatu	Food Index	176.8
2018	Vanuatu	Consumer Price Index	154.8
2019	Vanuatu	Food Index	186.4
2019	Vanuatu	Consumer Price Index	159
2020	Vanuatu	Food Index	207.7
2020	Vanuatu	Consumer Price Index	167.5
2009	Port Vila	Food Index	133.8
2009	Port Vila	Consumer Price Index	131.5
2010	Port Vila	Food Index	140.7
2010	Port Vila	Consumer Price Index	135.4
2011	Port Vila	Food Index	142.2
2011	Port Vila	Consumer Price Index	136.7
2012	Port Vila	Food Index	146
2012	Port Vila	Consumer Price Index	138.6
2013	Port Vila	Food Index	147.9
2013	Port Vila	Consumer Price Index	140.6
2014	Port Vila	Food Index	150.7
2014	Port Vila	Consumer Price Index	141.7
2015	Port Vila	Food Index	157.7
2015	Port Vila	Consumer Price Index	145.9
2016	Port Vila	Food Index	162.2
2016	Port Vila	Consumer Price Index	147.2
2017	Port Vila	Food Index	176
2017	Port Vila	Consumer Price Index	152.6
2018	Port Vila	Food Index	184.6
2018	Port Vila	Consumer Price Index	157
2019	Port Vila	Food Index	196.1
2019	Port Vila	Consumer Price Index	162
2020	Port Vila	Food Index	224.1
2020	Port Vila	Consumer Price Index	172.7
2009	Luganville	Food Index	142.3
2009	Luganville	Consumer Price Index	134.7
2010	Luganville	Food Index	145.3
2010	Luganville	Consumer Price Index	137.6
2011	Luganville	Food Index	144.8
2011	Luganville	Consumer Price Index	138.2
2012	Luganville	Food Index	144.7
2012	Luganville	Consumer Price Index	139.9
2013	Luganville	Food Index	147.8
2013	Luganville	Consumer Price Index	142.1
2014	Luganville	Food Index	149.2
2014	Luganville	Consumer Price Index	143.2
2015	Luganville	Food Index	148.3
2015	Luganville	Consumer Price Index	143.3
2016	Luganville	Food Index	147.9
2016	Luganville	Consumer Price Index	144.5
2017	Luganville	Food Index	147.2
2017	Luganville	Consumer Price Index	144.7
2018	Luganville	Food Index	147.2
2018	Luganville	Consumer Price Index	144.1
2019	Luganville	Food Index	149.9
2019	Luganville	Consumer Price Index	145.4
2020	Luganville	Food Index	144.9
2020	Luganville	Consumer Price Index	143.1

